,Question_ID,Questions,Answers,questions_encoded,answers_encoded
0,1590140,<START>what does it mean to have a mental illness?<END>,"<START>mental illnesses are health conditions that disrupt a personâ€™s thoughts, emotions, relationships, and daily functioning. they are associated with distress and diminished capacity to engage in the ordinary activities of daily life.
mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. on the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. these include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital.
it is important to know that mental illnesses are medical conditions that have nothing to do with a personâ€™s character, intelligence, or willpower. just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brainâ€™s biology.
similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. these treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. with the proper treatment, it is very possible for a person with mental illness to be independent and successful.<END>","[1, 5, 43, 52, 53, 17, 44, 6, 8, 29, 2]","[29, 17, 174, 15, 14, 302, 16, 1597, 3, 1173, 92, 220, 287, 2, 245, 1598, 25, 15, 463, 13, 326, 2, 1599, 1174, 1, 949, 8, 4, 1175, 303, 6, 245, 105, 17, 174, 792, 681, 3, 682, 6, 1176, 36, 15, 793, 683, 2, 175, 1600, 13, 36, 794, 6, 105, 141, 28, 464, 1601, 23, 4, 37, 38, 6, 4, 1177, 1602, 206, 17, 174, 246, 1178, 8, 327, 1603, 1604, 2, 1605, 13, 245, 105, 96, 183, 141, 162, 28, 327, 69, 113, 2, 389, 58, 2, 20, 465, 16, 4, 110, 1606, 65, 8, 3, 519, 30, 12, 62, 1, 111, 16, 17, 174, 15, 265, 302, 16, 24, 1179, 1, 61, 13, 3, 1173, 1607, 1608, 7, 1609, 156, 28, 1180, 12, 3, 58, 6, 4, 1610, 17, 56, 12, 3, 265, 424, 950, 1, 4, 1611, 1612, 1181, 1, 63, 52, 232, 520, 1180, 13, 124, 2, 1613, 17, 56, 12, 521, 13, 3, 684, 6, 124, 2, 79, 33, 96, 466, 15, 1614, 522, 13, 1615, 1616, 951, 6, 328, 1182, 53, 247, 3, 1617, 8, 47, 2, 48, 1618, 523, 6, 105, 13, 4, 1619, 53, 30, 12, 115, 248, 9, 3, 110, 13, 17, 56, 1, 18, 952, 2, 1620, 38]"
1,2110618,<START>who does mental illness affect?<END>,"<START>it is estimated that mental illness affects 1 in 5 adults in america, and that 1 in 24 adults have a serious mental illness. mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background.
although mental illness can affect anyone, certain conditions may be more common in different populations. for instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children.
additionally, all ages are susceptible, but the young and the old are especially vulnerable. mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. this makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition.
parents and caretakers should be aware of this fact, and take notice of changes in their childâ€™s mood, personality, personal habits, and social withdrawal. when these occur in children under 18, they are referred to as serious emotional disturbances (seds).<END>","[1, 70, 43, 8, 29, 106, 2]","[29, 30, 12, 1183, 16, 17, 56, 390, 151, 8, 795, 197, 8, 1184, 2, 16, 151, 8, 391, 197, 24, 3, 206, 17, 56, 17, 56, 329, 49, 1185, 30, 11, 467, 355, 953, 6, 1186, 304, 356, 79, 796, 1187, 1188, 1189, 1190, 7, 1191, 591, 17, 56, 11, 467, 355, 464, 302, 20, 18, 34, 207, 8, 54, 1192, 9, 685, 208, 162, 686, 1, 592, 34, 125, 8, 1193, 118, 162, 141, 28, 524, 797, 687, 58, 12, 34, 1194, 8, 209, 1195, 98, 392, 15, 1196, 59, 4, 136, 2, 4, 798, 15, 330, 799, 17, 174, 198, 1197, 328, 8, 4, 1198, 6, 31, 249, 13, 1199, 951, 6, 17, 14, 302, 425, 70, 4, 304, 6, 391, 39, 468, 954, 2, 53, 6, 17, 162, 525, 157, 331, 4, 266, 144, 2, 1200, 191, 6, 1201, 20, 800, 47, 6, 3, 17, 14, 424, 357, 2, 1202, 176, 18, 688, 6, 39, 526, 2, 116, 801, 6, 191, 8, 31, 1621, 152, 144, 527, 528, 2, 79, 802, 44, 96, 592, 8, 209, 426, 955, 25, 15, 956, 1, 28, 206, 529, 1203, 1204, 38]"
2,6361820,<START>what causes mental illness?<END>,"<START>it is estimated that mental illness affects 1 in 5 adults in america, and that 1 in 24 adults have a serious mental illness. mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. although mental illness can affect anyone, certain conditions may be more common in different populations. for instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. additionally, all ages are susceptible, but the young and the old are especially vulnerable. mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. this makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. parents and caretakers should be aware of this fact, and take notice of changes in their child’s mood, personality, personal habits, and social withdrawal. when these occur in children under 18, they are referred to as serious emotional disturbances (seds).<END>","[1, 5, 71, 8, 29, 2]","[29, 30, 12, 1183, 16, 17, 56, 390, 151, 8, 795, 197, 8, 1184, 2, 16, 151, 8, 391, 197, 24, 3, 206, 17, 56, 17, 56, 329, 49, 1185, 30, 11, 467, 355, 953, 6, 1186, 304, 356, 79, 796, 1187, 1188, 1189, 1190, 7, 1191, 591, 17, 56, 11, 467, 355, 464, 302, 20, 18, 34, 207, 8, 54, 1192, 9, 685, 208, 162, 686, 1, 592, 34, 125, 8, 1193, 118, 162, 141, 28, 524, 797, 687, 58, 12, 34, 1194, 8, 209, 1195, 98, 392, 15, 1196, 59, 4, 136, 2, 4, 798, 15, 330, 799, 17, 174, 198, 1197, 328, 8, 4, 1198, 6, 31, 249, 13, 1199, 951, 6, 17, 14, 302, 425, 70, 4, 304, 6, 391, 39, 468, 954, 2, 53, 6, 17, 162, 525, 157, 331, 4, 266, 144, 2, 1200, 191, 6, 1201, 20, 800, 47, 6, 3, 17, 14, 424, 357, 2, 1202, 176, 18, 688, 6, 39, 526, 2, 116, 801, 6, 191, 8, 31, 957, 152, 144, 527, 528, 2, 79, 802, 44, 96, 592, 8, 209, 426, 955, 25, 15, 956, 1, 28, 206, 529, 1203, 1204, 38]"
3,9434130,<START>what are some of the warning signs of mental illness?<END>,"<START>symptoms of mental health disorders vary depending on the type and severity of the condition. the following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once.
in adults:
confused thinking
long-lasting sadness or irritability
extreme highs and lows in mood
excessive fear, worrying, or anxiety
social withdrawal
dramatic changes in eating or sleeping habits
strong feelings of anger
delusions or hallucinations (seeing or hearing things that are not really there)
increasing inability to cope with daily problems and activities
thoughts of suicide
denial of obvious problems
many unexplained physical problems
abuse of drugs and/or alcohol
  in older children and pre-teens:
abuse of drugs and/or alcohol
inability to cope with daily problems and activities
changes in sleeping and/or eating habits
excessive complaints of physical problems
defying authority, skipping school, stealing, or damaging property
intense fear of gaining weight
long-lasting negative mood, often along with poor appetite and thoughts of death
frequent outbursts of anger
  in younger children:
changes in school performance
poor grades despite strong efforts
excessive worrying or anxiety
hyperactivity
persistent nightmares
persistent disobedience and/or aggressive behavior
frequent temper tantrums<END>","[1, 5, 30, 107, 26, 12, 108, 109, 26, 8, 29, 2]","[29, 47, 6, 17, 14, 162, 958, 959, 23, 4, 593, 2, 1176, 6, 4, 424, 4, 358, 12, 3, 305, 6, 427, 47, 16, 20, 689, 3, 17, 14, 58, 525, 44, 690, 47, 15, 1622, 27, 393, 8, 197, 1205, 119, 168, 691, 692, 7, 1206, 960, 1623, 2, 1624, 8, 152, 961, 693, 1207, 7, 71, 79, 802, 1208, 191, 8, 208, 7, 694, 528, 695, 108, 6, 696, 332, 7, 333, 962, 7, 803, 137, 16, 15, 49, 306, 72, 1625, 697, 1, 250, 13, 245, 66, 2, 303, 92, 6, 288, 1626, 6, 804, 66, 68, 1627, 153, 66, 1209, 6, 184, 2, 7, 133, 8, 594, 209, 2, 1628, 530, 1209, 6, 184, 2, 7, 133, 697, 1, 250, 13, 245, 66, 2, 303, 191, 8, 694, 2, 7, 208, 528, 961, 1629, 6, 153, 66, 1630, 595, 1631, 267, 1632, 7, 1633, 1634, 698, 693, 6, 1635, 1636, 168, 691, 251, 152, 125, 681, 13, 394, 1210, 2, 92, 6, 963, 699, 1637, 6, 696, 8, 1211, 209, 191, 8, 267, 964, 394, 1638, 965, 695, 531, 961, 1207, 7, 71, 687, 700, 1639, 700, 1640, 2, 7, 1641, 1642, 699, 1643, 1644, 38]"
4,7657263,<START>can people with mental illness recover?<END>,"<START>when healing from mental illness, early identification and treatment are of vital importance. based on the nature of the illness, there are a range of effective treatments available. for any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process.
many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.<END>","[1, 4, 110, 35, 8, 29, 111, 2]","[29, 44, 1212, 41, 17, 56, 532, 954, 2, 53, 15, 6, 1645, 1213, 199, 23, 4, 805, 6, 4, 56, 72, 15, 3, 966, 6, 522, 466, 177, 9, 90, 593, 6, 53, 30, 12, 967, 16, 4, 110, 968, 12, 1214, 2, 1646, 1215, 8, 31, 87, 395, 268, 68, 19, 13, 17, 174, 45, 15, 396, 2, 596, 806, 99, 591, 36, 100, 73, 3, 807, 6, 47, 145, 8, 141, 269, 13, 1216, 1217, 2, 533, 6, 4, 58, 30, 12, 307, 1218, 248, 1, 701, 3, 1647, 2, 1219, 105, 38]"
5,1619387,<START>what should i do if i know someone who appears to have the symptoms of a mental disorder?<END>,"<START>although this website cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. the sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery.
if you know someone who is having problems, don't assume that the issue will resolve itself. let them know that you care about them, and that there are treatment options available that will help them heal. speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. if the affected loved one knows that you support them, they will be more likely to seek out help.<END>","[1, 5, 36, 3, 9, 18, 3, 32, 33, 70, 112, 17, 44, 12, 72, 26, 6, 8, 23, 2]","[29, 591, 39, 534, 808, 969, 9, 120, 334, 94, 597, 359, 13, 47, 1, 60, 1, 31, 158, 2, 57, 270, 2, 210, 4, 1648, 6, 3, 17, 14, 120, 4, 1220, 4, 17, 14, 424, 12, 1649, 2, 596, 4, 1220, 25, 11, 129, 23, 4, 809, 1, 395, 22, 5, 111, 80, 45, 12, 308, 66, 271, 702, 16, 4, 703, 64, 970, 810, 598, 91, 111, 16, 5, 65, 26, 91, 2, 16, 72, 15, 53, 211, 177, 16, 64, 21, 91, 1650, 1651, 13, 3, 17, 14, 120, 7, 1652, 22, 5, 134, 10, 469, 7, 57, 289, 12, 247, 4, 47, 6, 3, 17, 14, 424, 22, 4, 968, 76, 52, 1653, 16, 5, 33, 91, 25, 64, 18, 34, 360, 1, 210, 88, 21, 38]"
6,1030153,<START>how can i find a mental health professional for myself or my child?<END>,<START>feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. finding the professional who best fits your needs may require research. start by searching for providers in your area.<END>,"[1, 7, 4, 3, 10, 6, 8, 15, 73, 19, 74, 20, 24, 45, 2]","[29, 233, 599, 13, 4, 120, 5, 7, 10, 192, 12, 272, 13, 12, 600, 1, 4, 1221, 6, 4, 53, 212, 4, 120, 45, 178, 811, 10, 273, 20, 465, 159, 29, 70, 1222, 9, 397, 8, 10, 179, 38]"
7,8022026,<START>what treatment options are available?<END>,"<START>just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. treatment works differently for different people. it is important to find what works best for you or your child.<END>","[1, 5, 46, 113, 30, 114, 2]","[29, 156, 28, 72, 15, 54, 470, 6, 142, 9, 153, 56, 54, 53, 211, 15, 177, 9, 328, 13, 17, 56, 53, 471, 971, 9, 54, 19, 30, 12, 62, 1, 40, 43, 471, 178, 9, 5, 7, 10, 192, 38]"
8,1155199,"<START>if i become involved in treatment, what do i need to know?<END>","<START>since beginning treatment is a big step for individuals and families, it can be very overwhelming. it is important to be as involved and engaged in the treatment process as possible. some questions you will need to have answered include:
what is known about the cause of this particular illness?
are there other diagnoses where these symptoms are common?
do you normally include a physical or neurological examination?
are there any additional tests or exams that you would recommend at this point?
would you advise an independent opinion from another psychiatrist at this point?
what program of treatment is the most helpful with this diagnosis?
will this program involve services by other specialists? if so, who will be responsible for coordinating these services?
what do you see as the familyâ€™s role in this program of treatment?
how much access will the family have to the individuals who are providing the treatment?
what medications are generally used with this diagnosis?
how much experience do you have in treating individuals with this illness?
what can i do to help you in the treatment?<END>","[1, 18, 3, 75, 76, 54, 46, 5, 9, 3, 47, 17, 32, 2]","[29, 972, 1223, 53, 12, 3, 472, 601, 9, 328, 2, 335, 30, 11, 18, 115, 812, 30, 12, 62, 1, 18, 28, 602, 2, 1215, 8, 4, 53, 268, 28, 248, 36, 336, 5, 64, 77, 1, 24, 1224, 183, 43, 12, 704, 26, 4, 398, 6, 39, 428, 56, 15, 72, 37, 1225, 290, 96, 47, 15, 207, 61, 5, 1226, 183, 3, 153, 7, 973, 1227, 15, 72, 90, 974, 1228, 7, 1229, 16, 5, 232, 705, 27, 39, 535, 232, 5, 975, 48, 952, 603, 41, 429, 309, 27, 39, 535, 43, 138, 6, 53, 12, 4, 146, 193, 13, 39, 274, 64, 39, 138, 604, 74, 70, 37, 976, 22, 93, 45, 64, 18, 706, 9, 1230, 96, 74, 43, 61, 5, 67, 28, 4, 1231, 813, 8, 39, 138, 6, 53, 63, 143, 147, 64, 4, 57, 24, 1, 4, 328, 45, 15, 473, 4, 53, 43, 142, 15, 430, 310, 13, 39, 274, 63, 143, 73, 61, 5, 24, 8, 977, 328, 13, 39, 56, 43, 11, 84, 61, 1, 21, 5, 8, 4, 53, 38]"
9,7760466,<START>what is the difference between mental health professionals?<END>,"<START>there are many types of mental health professionals. the variety of providers and their services may be confusing. each have various levels of education, training, and may have different areas of expertise. finding the professional who best fits your needs may require some research.<END>","[1, 5, 14, 12, 21, 22, 8, 15, 77, 2]","[29, 72, 15, 68, 470, 6, 17, 14, 234, 4, 814, 6, 397, 2, 31, 74, 20, 18, 1654, 291, 24, 978, 979, 6, 707, 815, 2, 20, 24, 54, 980, 6, 1655, 212, 4, 120, 45, 178, 811, 10, 273, 20, 465, 36, 159, 38]"
