,Text,Label,tokenized_text
0,i didnt feel humiliated,0,"[1, 138, 2, 678]"
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,"[1, 39, 100, 59, 7, 14, 493, 4, 14, 3495, 552, 31, 59, 60, 127, 147, 75, 1479, 3, 21, 1254]"
2,im grabbing a minute to post i feel greedy wrong,1,"[16, 3059, 6, 1148, 4, 285, 1, 2, 494, 437]"
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,"[1, 23, 164, 7, 664, 26, 5, 4157, 1, 58, 46, 8, 12, 21, 71, 29, 5, 3496]"
4,i am feeling grouchy,1,"[1, 23, 7, 1064]"
5,ive been feeling a little burdened lately wasnt sure why that was,0,"[72, 47, 7, 6, 55, 520, 318, 327, 157, 160, 8, 19]"
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,3,"[72, 47, 328, 34, 7400, 34, 195, 7401, 887, 3, 72, 2474, 1383, 6, 158, 1884, 18, 1, 116, 2, 13, 14, 454]"
7,i feel as confused about life as a teenager or as jaded as a year old man,4,"[1, 2, 28, 438, 26, 77, 28, 6, 1685, 34, 28, 759, 28, 6, 192, 266, 373]"
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,5,"[1, 20, 47, 24, 5259, 15, 214, 1, 2, 8, 5259, 98, 5260, 134, 3, 131, 6, 1037, 4158]"
9,i feel romantic too,2,"[1, 2, 665, 93]"
10,i feel like i have to make the suffering i m seeing mean something,0,"[1, 2, 13, 1, 20, 4, 79, 5, 732, 1, 92, 543, 303, 83]"
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,5,"[1, 38, 2, 8, 482, 21, 6, 529, 439, 3, 8, 1, 39, 919, 4, 20, 68, 839, 9, 1885, 3060]"
12,i think it s the easiest time of year to feel dissatisfied,1,"[1, 69, 12, 89, 5, 5261, 51, 9, 192, 4, 2, 609]"
13,i feel low energy i m just thirsty,0,"[1, 2, 338, 455, 1, 92, 31, 4159]"
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,5,"[1, 20, 4160, 1686, 24, 5, 987, 258, 18, 28, 6, 888, 7402, 1612, 190, 4, 163, 51, 4, 224, 11, 5, 3061, 9, 77, 3, 24, 95, 1770, 9, 76, 3497, 206, 200, 6, 2475, 3498, 22, 122, 6, 55, 503]"
15,i do not feel reassured anxiety is on each side,5,"[1, 38, 25, 2, 840, 1038, 21, 29, 274, 465]"
16,i didnt really feel that embarrassed,0,"[1, 138, 40, 2, 8, 466]"
17,i feel pretty pathetic most of the time,0,"[1, 2, 102, 610, 133, 9, 5, 51]"
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,"[1, 197, 7, 889, 26, 5262, 1, 56, 28, 6, 378, 3, 14, 565, 6, 1990, 9, 2118, 5263, 5262, 59, 5, 7403]"
19,i now feel compromised and skeptical of the value of every unit of work i put in,4,"[1, 57, 2, 3499, 3, 890, 9, 5, 1991, 9, 146, 3500, 9, 123, 1, 247, 11]"
20,i feel irritated and rejected without anyone doing anything or saying anything,1,"[1, 2, 504, 3, 521, 173, 243, 154, 165, 34, 354, 165]"
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,"[1, 23, 7, 284, 237, 1, 20, 218, 7404, 8, 139, 17, 4, 2, 2119, 2476, 10, 228, 49, 11, 10, 1771, 11, 5, 1480, 9, 6, 1384, 4, 241, 3, 124, 227, 24, 6, 733, 9, 1065, 88, 1, 23, 133, 734, 15]"
22,i have the feeling she was amused and delighted,5,"[1, 20, 5, 7, 97, 19, 902, 3, 938]"
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,5,"[1, 19, 198, 4, 139, 7405, 5264, 24, 109, 522, 3, 3501, 21, 6, 304, 7, 3, 1, 23, 14, 339, 30, 129, 198, 4, 139, 17]"
24,i already feel like i fucked up though because i dont usually eat at all in the morning,1,"[1, 207, 2, 13, 1, 505, 41, 136, 36, 1, 87, 429, 523, 32, 35, 11, 5, 236]"
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,"[1, 71, 84, 10, 14, 3, 361, 5, 298, 15, 73, 1, 39, 95, 456, 3062, 5, 1687, 8, 7406, 98, 29, 132, 679, 3, 5, 309, 8, 21, 98, 1290, 10, 14, 105, 6, 628, 263, 170, 75, 21, 25, 111, 368, 167, 4, 5, 62, 127, 73, 33, 65, 21, 7, 232]"
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,"[1, 2, 14, 1066, 11, 147, 2276, 1481, 13, 16, 2277, 29, 147, 2276, 939]"
27,i become overwhelmed and feel defeated,0,"[1, 344, 237, 3, 2, 693]"
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,1,"[1, 2, 566, 1772, 8, 97, 122, 13, 97, 611, 4, 961, 11, 2278, 3, 7407, 67, 278, 5265, 680, 7408]"
29,i feel more superior dead chicken or grieving child,5,"[1, 2, 37, 629, 1176, 2120, 34, 4161, 378]"
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,5,"[1, 54, 3063, 115, 7, 1149, 11, 6, 1482, 7409, 5266, 4162]"
31,i remember feeling acutely distressed for a few days,4,"[1, 189, 7, 4163, 962, 15, 6, 191, 148]"
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,3,"[1, 20, 801, 903, 3, 215, 115, 5, 297, 612, 9, 148, 1, 23, 171, 7, 512, 44, 37, 94, 6, 191, 1992]"
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,1,"[1, 3064, 5, 2279, 7, 365, 8, 248, 102, 85, 5267, 1097, 437, 15, 22, 694, 3, 8, 6, 3502, 8, 98, 144, 164, 7410, 17, 56, 131, 180, 6, 5268, 11, 5, 96]"
